source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
,0,cdmv5,Bortezomib,1336825,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Nicardipine,1318137,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Doxorubicin,1338512,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Thiopental,700253,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Bosentan,1321636,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Thiotepa,19137385,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Doxycycline,1738521,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Nicorandil,19014977,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Bosutinib,42900401,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Dronedarone,40163615,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Tiaprofenic acid,19086910,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Nicotinic acid,1517824,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Droperidol,739323,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Nifedipine,1318853,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Tibolone,19041933,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Botulinum toxin type A,729855,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Nilotinib,1394023,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Drospirenone,1512674,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Ticagrelor,40241186,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Nimodipine,1319133,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Dulaglutide,45774435,RxNorm,01/01/1970,31/12/2099,
,0,cdmv5,Botulinum toxin type B,40166020,RxNorm,01/01/1970,31/12/2099,
